Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
tgstation,1024.57,1027.86,1031.58,1021.03,1043.63,1035.83,1010.2,1014.15,1074.66,1045.5,1057.95,1047.81,1065.61,1087.1,1078.62
gitpod-io,126.25,127.3,134.88,136.47,140.33,138.17,147.9,165.54,175.76,184.84,196.9,218.65,232.1,251.81,263.97
neovim,696.06,705.6,701.68,702.75,673.19,673.97,669.81,675.45,682.11,677.01,683.26,693.38,705.08,728.83,744.34
keycloak,580.11,597.64,580.53,585.59,577.52,573.29,538.23,608.0,626.57,605.55,623.94,642.77,628.67,626.42,637.02
spack,732.98,724.86,723.67,734.56,762.58,761.57,757.48,766.04,768.33,768.39,780.9,770.9,782.86,779.11,778.57
electron,828.92,807.49,813.57,790.23,794.1,712.86,717.46,724.98,762.44,759.12,779.94,790.61,825.32,847.49,858.32
backstage,260.71,243.57,228.74,221.95,228.87,228.11,240.65,257.56,263.21,274.47,297.0,312.71,324.4,332.44,345.27
cilium,680.72,684.13,690.2,689.22,666.66,669.51,687.66,666.25,682.05,699.17,678.46,663.87,689.0,690.75,687.93
oppia,590.04,629.77,641.35,650.31,684.66,689.56,708.66,744.45,741.68,761.77,792.86,793.82,799.51,812.2,868.96
obsproject,580.81,572.93,567.41,595.73,597.45,606.0,640.94,645.41,606.37,608.01,632.92,642.48,608.08,612.62,665.89
strapi,599.86,558.12,549.67,534.68,572.03,548.87,553.83,534.92,543.33,533.08,542.68,543.93,566.72,579.61,595.34
GoogleChrome,110.17,111.33,123.89,120.49,139.26,154.75,148.19,181.77,189.71,205.58,208.57,227.33,227.03,234.58,241.02
nrwl,380.28,337.34,299.1,293.38,283.63,293.91,289.87,313.35,323.59,328.38,328.28,327.57,338.25,340.65,344.46
scipy,811.37,813.92,801.64,812.39,830.61,823.55,801.95,820.92,850.14,851.8,869.8,847.85,863.02,866.24,897.88
project-chip,170.23,171.36,177.49,181.1,188.51,192.26,189.8,215.36,233.48,250.78,267.62,284.24,309.58,327.09,333.58
ziglang,433.13,431.88,412.57,421.15,440.76,396.07,398.16,388.52,372.61,418.56,415.44,417.49,452.38,460.41,407.28
espressif,648.03,639.19,673.78,654.41,680.64,643.44,639.76,669.37,684.74,675.06,687.53,703.77,708.1,701.12,715.11
apache,258.58,281.61,285.33,263.83,275.03,259.45,260.07,256.22,272.3,269.82,274.73,273.47,286.56,292.26,303.55
scikit-learn,918.58,924.48,934.88,955.86,957.76,953.03,951.28,943.85,973.55,979.22,993.03,1016.64,1022.4,1045.13,1043.71
laravel,1034.98,991.34,933.32,907.92,891.79,860.37,839.15,830.45,837.58,848.52,871.75,884.74,891.29,899.45,908.61
ethereum,258.85,221.1,180.74,144.84,179.72,152.73,154.88,170.13,172.05,213.25,205.55,209.25,238.26,260.23,283.95
ant-design,805.65,822.44,774.98,758.05,754.64,733.47,719.48,728.26,737.87,713.6,685.8,675.93,686.83,702.11,705.45
directus,281.01,283.22,277.47,289.01,293.13,303.72,310.83,325.23,322.02,343.0,354.57,376.29,404.56,418.98,421.11
rails,859.27,857.5,872.96,867.54,889.43,851.47,834.81,846.03,876.92,861.82,876.02,862.96,883.86,872.98,870.97
vectordotdev,246.16,236.55,239.25,252.91,251.94,241.27,257.37,275.59,287.04,298.34,287.46,306.98,331.31,354.63,361.99
gatsbyjs,803.72,809.56,817.38,826.17,834.3,851.75,875.2,899.15,924.64,955.35,1014.48,1032.06,1073.05,1093.4,1113.23
