Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
tachiyomiorg,1.2725487899820718,1.2833956279713072,1.2966054447237338,1.2854812163035023,1.2811692771328778,1.2957532382779995,1.3073405046082156,1.2987227733398299,1.2942009699522312,1.3033527084274066,1.3092972484520713,1.31377439543987,1.3034206170962437,1.3224533816336055,1.3565034183906892,1.3637490582258613,1.3592227760493907,1.367942076722878,1.3608831783059765,1.3518496294022349,1.351414043834224,1.3532461071747262,1.3555886256728222,1.357830271387755,1.3795123433940182,1.3896030073817394,1.3892255975728705
zulip,1.6194111600872179,1.6195740688504325,1.6350262643021467,1.6082625984882173,1.6019601637444285,1.6006343925596123,1.587356321630014,1.5810949302658948,1.5797919607822952,1.5989929129617892,1.621365855637019,1.6042210372625405,1.5986474035574667,1.5888252834307008,1.597374596579309,1.6042907230265895,1.6035772681099631,1.6032865410504606,1.5849154409709216,1.5706841370040137,1.5749655275297298,1.5792118749607627,1.5632401987035114,1.557790784731023,1.5646095549747683,1.5769173839347175,1.5916162114615706
trinodb,1.2549583679101328,1.2718685112250534,1.2909452903904186,1.277129726630547,1.286646135110436,1.301123903708354,1.2888237221308751,1.2830043191653788,1.278712058643262,1.2906416392180866,1.30179317112297,1.2914683020474154,1.2812783277657356,1.2884531712136835,1.2920889510487172,1.2898062188388633,1.2861666587251188,1.2862360021848853,1.3080196355977534,1.287667573182159,1.2785610871628466,1.299191306693095,1.2951424512875302,1.297808109766934,1.3002802316611364,1.3156063032774865,1.3244478081078233
ray-project,1.7587649733193995,1.772332467517767,1.7901103081460903,1.78839867913939,1.8180259876763076,1.8275585786596198,1.841746677887007,1.8489798723438358,1.866012384891691,1.8804102049331468,1.8974726264344528,1.9023051441261483,1.913216963021317,1.9324134766082053,1.9257948470574728,1.9261594394719477,1.9275367625459197,1.926691358766102,1.9371895694465335,1.9239756247057531,1.9290808404447912,1.9533876909670111,1.9690609537396773,1.9899334363898353,2.0117996126767355,2.023107573712973,2.0351835477876086
open-telemetry,1.0591418802460104,1.0735575352777318,1.0845073999474786,1.0682074732512212,1.0931136917565742,1.1029738967085232,1.1181026484870946,1.1167677974276162,1.1391600427684068,1.166464937596827,1.1951947003672057,1.2034916784289864,1.183851926251528,1.202135747278056,1.219249822607587,1.2266924973764783,1.2527206181461032,1.2673180555828052,1.2987525466850056,1.2992062219771932,1.3197078284849986,1.3285637490656592,1.3176390619834155,1.3401418172982609,1.3751524429563156,1.3939124348713434,1.4423989032350697
CleverRaven,2.9382157509681974,2.943894112267921,2.9744733278495543,2.978581208972731,2.9986014130896406,3.0069948379545814,3.0124671084109624,3.0028425071322165,2.9848307799809928,2.973530104607782,2.965015970663364,2.9415623657455727,2.982590940238233,3.0228688604163705,3.05489980947639,3.0586707738767003,3.0453625570508662,3.0591972880834226,3.06404520550302,3.0698594562465122,3.068633299014572,3.080499868673612,3.0847440136071653,3.1140171441573363,3.122323573569161,3.1452638740285837,3.1586235713843585
quarkusio,1.6910233741033118,1.7083317416189834,1.7449842827804085,1.7859528001766185,1.79886981127061,1.8040344652327363,1.818661000437619,1.8262021252656964,1.859329448830405,1.871641496068431,1.8953221936978637,1.8873951946946663,1.885835353005703,1.9116717693055307,1.9257948470574728,1.9282050797962649,1.9234970454851077,1.944672402960769,1.9470270569612216,1.9494236481255052,1.9446153510826067,1.9437838604687363,1.9595552195887245,1.9767747432639413,1.9950840476266314,1.9973563724653567,2.026096711614235
SerenityOS,1.4076681968552804,1.4191328387242776,1.432779001561848,1.4140438373143172,1.4237743798413889,1.445997441880067,1.4625573095430469,1.4950249147262953,1.5461195289249805,1.6247926788262173,1.6945075712720217,1.7527921445338341,1.8003606402572416,1.8233342877938163,1.8326479373796989,1.8455326998298405,1.847999175386386,1.8722465226159728,1.9352190973121437,1.9863213914326616,2.0384402288431724,2.076136469414764,2.077670457872856,2.075319970391134,2.097949203653668,2.1262346246335464,2.130227160694303
conda-forge,3.5143908866482727,3.544443552026689,3.5772282054783204,3.5698659414377487,3.6284411998897594,3.6308763931348174,3.6660500562893574,3.702208260162247,3.7257475610176654,3.7866715068330894,3.839459519707067,3.880143273060558,3.89410546060758,3.914590734656552,3.9311058150664673,3.9234347221881585,3.946230409476973,3.9696020444806415,3.9787905974881386,3.9827883253977125,4.0142959692351905,4.054181392641959,4.075458155752581,4.0970124285942084,4.123487529819849,4.160899364245463,4.186138449200808
argoproj,1.6113726487341,1.648510928132847,1.6839942081569355,1.6918567225872891,1.7261862023376249,1.7613309547755973,1.765040714242223,1.7756188855348718,1.8054505821249327,1.8430065669927274,1.8802359460679836,1.9023051441261483,1.9174125449178931,1.9365486425086718,1.9482304142879379,1.9547014348876939,1.9416429830661444,1.9506477493161634,1.9744410264205707,1.959167401068913,1.9716530621064678,2.006737372850899,2.029356273501688,2.049529661987522,2.06700745616511,2.106543649299967,2.130227160694303
azerothcore,1.2783947159632443,1.2833956279713072,1.2824396606706485,1.2547714528849294,1.2701924845112915,1.2822942002121263,1.283517060728297,1.272490122274874,1.2735354184878442,1.2906416392180866,1.3092972484520713,1.3038762885649868,1.3132215146280106,1.3224533816336055,1.3470272596554989,1.344800541162198,1.3311047412204324,1.3377931261469584,1.326488158229331,1.3084126782184562,1.2923248521649466,1.2946528139842142,1.290627549542609,1.2843437485190616,1.2802186803294469,1.2691926071619395,1.2740474698412112
dotnet,1.8228123099955598,1.8402961154939155,1.856837281298529,1.8442355639468102,1.8655096694872788,1.8695484622344676,1.8761215318992077,1.8851504054196817,1.8926304483155694,1.9131187668289935,1.9274551150116226,1.9466967467063316,1.9424918988078115,1.9468674578750065,1.9624408331051697,1.9688946532408562,1.9396309229059376,1.930694300972383,1.9332476313004332,1.9318234473163187,1.927134678304827,1.926437275423665,1.9116766599686998,1.9045584155777302,1.9180175145836404,1.924713174505384,1.9228541634523952
