Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Automattic,4.51,10.06,6.29,10.11,5.09,6.45,6.22,4.85,4.04,4.71,4.77,4.63,3.49,2.77,2.07
qmk,35.47,31.16,28.3,41.17,28.3,23.53,16.39,17.11,17.66,15.0,11.35,9.29,7.82,4.31,3.15
mrdoob,5.76,3.5,6.66,14.67,15.9,11.91,5.88,4.25,4.15,2.49,3.55,4.72,2.64,2.38,1.28
termux,1.86,4.71,1.32,3.03,4.32,6.82,8.57,12.75,4.82,1.53,0.89,0.57,0.52,0.48,0.19
rapid7,16.38,10.69,14.04,13.69,14.0,18.25,10.92,11.65,17.08,9.46,15.66,15.07,5.73,5.19,3.76
ccxt,2.58,5.73,5.34,5.21,5.85,13.14,15.25,9.52,19.19,9.11,7.37,2.09,1.26,1.18,1.22
JuliaLang,13.8,16.33,20.26,26.14,19.55,21.96,15.33,15.61,10.59,10.14,13.24,8.04,5.67,3.33,2.6
jitsi,5.64,6.61,2.87,5.16,2.43,3.22,2.26,4.1,2.86,6.18,4.68,9.56,3.74,2.68,1.21
WordPress,11.31,14.8,16.64,12.62,18.03,15.53,15.88,9.0,11.5,11.96,10.07,8.93,7.4,4.34,2.7
istio,9.95,6.87,5.83,5.28,5.45,5.92,4.69,5.94,5.21,5.52,5.22,7.44,4.18,2.12,1.34
qbittorrent,6.28,10.46,22.9,11.55,10.98,12.47,4.13,5.74,8.68,7.88,6.98,14.98,12.65,3.46,2.09
yt-dlp,11.57,25.44,10.85,21.41,18.35,10.24,7.78,9.0,14.19,10.89,11.08,16.11,16.2,7.33,1.55
DefinitelyTyped,8.4,9.89,10.07,9.14,9.12,12.2,13.2,12.26,18.06,8.28,9.54,14.98,11.48,7.56,3.21
mastodon,10.53,10.41,11.55,16.7,25.48,24.02,10.59,12.24,6.62,2.73,8.43,11.29,6.5,3.57,1.81
grpc,17.86,15.45,17.53,14.1,14.88,16.66,10.96,6.78,6.59,9.79,9.12,14.75,4.3,3.25,2.92
elastic,6.74,8.26,8.73,7.28,7.77,6.82,7.98,6.33,5.23,5.83,6.01,6.65,4.79,3.28,2.87
sveltejs,1.33,2.7,5.92,4.16,6.34,4.31,1.84,1.19,2.97,2.16,2.06,2.8,1.76,1.4,1.48
Azure,6.42,6.77,5.43,5.24,5.36,7.35,7.71,7.32,7.63,8.68,7.08,9.77,2.95,2.3,1.65
MicrosoftDocs,18.46,22.45,31.16,33.69,35.14,23.78,21.05,23.39,19.52,16.58,14.41,14.71,8.87,5.32,2.42
